"Name","Symbol","Exchange","Last","Bid","Ask","Extended Hours","Extended Hours (%)","Open","Prev.","High","Low","Chg.","Chg. %","Vol.","Next Earnings Date","Time","Market Cap","Revenue","Average Vol. (3m)","EPS","P/E Ratio","Beta","Dividend","Yield","5 Minutes","15 Minutes","30 Minutes","Hourly","5 Hours","Daily","Weekly","Monthly","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"Societe Nationale des Telecommunications du Senegal","SNTS.CI","CI","25,000","-","-","--","--","25,000","25,500","25,000","25,000","0","0.00%","5,889","Sep 03, 2025","05/06","2.5T","1.78T","9,579","3,287.5","7.6","0.12","1,838.89","7.36%","","","","","","Strong Sell","Neutral","Strong Buy","0.00%","0.00%","-6.02%","4.17%","30.89%","69.49%"
"Societe Multinationale de Bitumes SA","SMBC.CI","CI","8,420","-","-","--","--","8,500","8,800","8,500","8,420","-80","-0.94%","556","--","05/06","65,640,000,000","229,060,000,000","1,128","-","-","0.23","1,080","12.83%","","","","","","Neutral","Neutral","Sell","-0.94%","0.24%","4.60%","-2.15%","-28.64%","17.03%"
"Societe de Limonaderie et Brasseries d’Afrique SA","SLBC.CI","CI","16,205","-","-","--","--","16,900","14,700","16,900","16,205","-695","-4.11%","38","--","05/06","266,750,000,000","309,720,000,000","234","-","-","-0.45","270","1.67%","","","","","","Buy","Strong Buy","Strong Buy","-4.11%","-4.11%","8.07%","25.14%","94.65%","20.04%"
"Societe Ivoirienne de Coco Rape SA","SICC.CI","CI","3,440","-","-","--","--","3,440","3,560","3,440","3,440","0","0.00%","2","--","05/06","2,060,000,000","1,380,000,000","79","-","-","-1.49","-","-","","","","","","Neutral","Strong Sell","Strong Sell","0.00%","0.00%","4.24%","-14.00%","-5.36%","-66.60%"
"Tractafric Motors Cote d’Ivoire SA","PRSC.CI","CI","2,400","-","-","--","--","2,440","1,895","2,440","2,400","-40","-1.64%","128","--","05/06","24,580,000,000","75,670,000,000","769","-","-","-0.35","182.7","7.61%","","","","","","Strong Buy","Strong Buy","Buy","-1.64%","-1.64%","6.90%","9.09%","4.35%","-27.49%"
"Loterie Natonale Du Benin SA","LNBB.CI","CI","4,800.00","-","-","--","--","4,790.00","0.00","4,800.00","4,790.00","+10.00","+0.21%","5,676","--","05/06","96,000,000,000","","2,315","-","-","-","-","-","","","","","","Buy","Sell","Buy","0.21%","0.21%","0.00%","1.48%","-","-"
"Ecobank Transnational Inc","ETIT.CI","CI","18.00","-","-","--","--","18.00","15.00","18.00","18.00","0.00","0.00%","28,286","--","05/06","283,870,000,000","1,850,000,000","1,027,474","0.01","2.01","0.14","-","-","","","","","","Strong Buy","Strong Buy","Strong Buy","0.00%","0.00%","12.50%","12.50%","5.88%","12.50%"
"Cfao Cote d’Ivoire SA","CFAC.CI","CI","650","-","-","--","--","655","605","655","650","-5","-0.76%","2,554","--","05/06","117,890,000,000","166,070,000,000","2,039","-","-","-0.14","15.87","2.44%","","","","","","Neutral","Strong Buy","Sell","-0.76%","-0.76%","7.44%","8.33%","-5.80%","-28.57%"
"Bank of Africa Senegal SA","BOAS.CI","CI","4,045","-","-","--","--","4,050","4,025","4,050","4,045","-5","-0.12%","1,474","--","05/06","145,620,000,000","48,920,000,000","9,643","555.11","7.24","0.02","350","8.65%","","","","","","Sell","Strong Buy","Strong Buy","-0.12%","0.62%","-3.69%","28.41%","1.12%","68.54%"
"Bank of Africa Burkina Faso SA","BOABF.CI","CI","3,735","-","-","--","--","3,735","4,290","3,735","3,735","0","0.00%","297","--","05/06","164,340,000,000","","6,222","576.31","8.5","0.03","428","11.46%","","","","","","Strong Buy","Buy","Buy","0.00%","2.89%","15.63%","23.06%","14.99%","37.06%"
"Banque Internationale pour le Commerce et l Industrie de Cote d Ivoire SA","BICC.CI","CI","16,895","-","-","--","--","16,900","16,200","16,900","16,895","-5","-0.03%","211","--","05/06","281,580,000,000","","316","-","-","0.04","944","5.59%","","","","","","Strong Buy","Strong Buy","Strong Buy","-0.03%","5.59%","5.96%","20.68%","66.45%","181.58%"
"BRVM Composite",".BRVMCI","CI","302.06","-","-","--","--","302.17","284.93","302.74","299.90","-0.11","-0.04%","-","--","05/06","-","","-","-","-","-","-","-","","","","","","Strong Buy","Strong Buy","Strong Buy","-0.04%","0.19%","2.39%","9.43%","33.68%","44.52%"
"Alios Finance Safca SA","SAFC.CI","CI","690","-","-","--","--","690","795","690","690","0","0.00%","187","--","05/06","224,110,000","3,610,000,000","1,283","-1,856.58","-0.7","-0.46","-","-","","","","","","Strong Sell","Strong Sell","Strong Sell","0.00%","0.00%","9.52%","-4.17%","-29.59%","-30.30%"
"Bank of Africa Cote d’Ivoire SA","BOAC.CI","CI","5,800","-","-","--","--","5,805","6,100","5,805","5,800","-5","-0.09%","2,980","--","05/06","164,340,000,000","","5,646","682.75","8.5","0.01","469","8.09%","","","","","","Strong Sell","Neutral","Strong Buy","-0.09%","0.87%","-7.13%","16.12%","64.54%","129.70%"
"Orange Cote d'Ivoire SA","ORAC.CI","CI","15,550.00","-","-","--","--","15,555.00","13,970.00","15,555.00","15,550.00","-5.00","-0.03%","1,018","--","05/06","2.34T","1.08T","2,035","-","-","0.24","750","4.82%","","","","","","Sell","Neutral","Strong Buy","-0.03%","-1.43%","0.32%","-11.14%","39.15%","-"
"Filatures Tissages Sacs Cote d’Ivoire FILTISAC SA","FTSC.CI","CI","6,200","-","-","--","--","6,400","3,300","6,400","6,200","-200","-3.12%","31,292","--","05/06","87,440,000,000","32,910,000,000","36,011","-","-","1.11","2,000.67","32.27%","","","","","","Strong Buy","Strong Buy","Strong Buy","-3.12%","-4.83%","66.67%","235.14%","360.97%","364.42%"
"Bank of Africa Niger SA","BOAN.CI","CI","2,595","-","-","--","--","2,595","2,675","2,595","2,595","0","0.00%","1,381","--","05/06","53,980,000,000","","4,938","-","-","0.03","209.25","8.06%","","","","","","Strong Sell","Strong Sell","Strong Sell","0.00%","0.19%","0.78%","0.78%","-22.81%","-32.00%"
"Servair Abidjan SA","ABJC.CI","CI","1,660","-","-","--","--","1,660","1,800","1,660","1,660","0","0.00%","6,087","--","05/06","18,110,000,000","12,470,000,000","2,185","138.84","11.52","0.16","206.2","12.42%","","","","","","Neutral","Strong Sell","Strong Sell","0.00%","3.75%","3.43%","-12.63%","-16.16%","5.06%"
"Sucrivoire SA","SCRC.CI","CI","1,025.00","-","-","--","--","1,035.00","890.00","1,035.00","1,025.00","-10.00","-0.97%","1,686","--","05/06","20,090,000,000","87,220,000,000","5,837","126.21","7.53","-0.13","-","-","","","","","","Strong Buy","Strong Buy","Strong Buy","-0.97%","0.00%","3.54%","32.26%","105.00%","10.81%"
"Air Liquide Cote d’Ivoire SA","SIVC.CI","CI","535","-","-","--","--","530","495","535","530","+5","+0.94%","222","--","05/06","4,670,000,000","7,700,000,000","4,364","-","-","-0.14","-","-","","","","","","Buy","Buy","Strong Sell","0.94%","0.00%","-10.08%","7.00%","-6.96%","-35.15%"
"Societe Africaine de Plantations d’Heveas SA","SPHC.CI","CI","5,960","-","-","--","--","5,990","4,450","5,990","5,960","-30","-0.50%","1,867","--","05/06","152,330,000,000","283,290,000,000","3,266","735.2","6.39","-0.13","64.82","1.09%","","","","","","Neutral","Strong Buy","Strong Buy","-0.50%","-0.67%","3.65%","43.96%","145.27%","1.02%"
"Bank of Africa Mali","BOAM.CI","CI","3,000.00","-","-","--","--","2,795.00","2,420.00","3,000.00","2,795.00","+205.00","+7.33%","15,232","--","05/06","82,350,000,000","","6,417","-","10.19","0.37","237.5","7.92%","","","","","","Strong Buy","Strong Buy","Strong Buy","7.33%","15.38%","16.96%","58.73%","184.81%","235.82%"
"Vivo Energy Cote d’Ivoire SA","SHEC.CI","CI","980","-","-","--","--","980","1,020","980","980","0","0.00%","630","--","05/06","61,740,000,000","600,710,000,000","4,530","-","-","-0.14","57","5.82%","","","","","","Strong Buy","Strong Buy","Strong Buy","0.00%","2.08%","4.26%","11.36%","26.45%","13.95%"
"Societe Ivoirienne de Cables SA","CABC.CI","CI","1,200","-","-","--","--","1,285","1,365","1,285","1,200","-85","-6.61%","1,245","--","05/06","7,100,000,000","19,130,000,000","4,336","206.9","5.85","-0.3","128.1","10.68%","","","","","","Strong Sell","Neutral","Strong Buy","-6.61%","-0.83%","-7.69%","15.38%","17.65%","16.50%"
"Societe Ivoirienne de Banque SA","SIBC.CI","CI","4,800.00","-","-","--","--","4,800.00","4,375.00","4,800.00","4,800.00","0.00","0.00%","4,413","--","05/06","480,000,000,000","81,510,000,000","5,635","449.3","8","0.09","247.5","5.16%","","","","","","Sell","Strong Buy","Strong Buy","0.00%","0.95%","0.21%","35.02%","54.47%","108.24%"
"Bollore Africa Logistics Cote d’Ivoire SA","SDSC.CI","CI","1,565","-","-","--","--","1,595","1,345","1,595","1,565","-30","-1.88%","576","--","05/06","85,170,000,000","83,980,000,000","7,166","-","-","0.23","92","5.88%","","","","","","Strong Buy","Strong Buy","Strong Buy","-1.88%","-5.15%","10.21%","16.79%","16.36%","-13.06%"
"Bernabe Cote d’Ivoire","BNBC.CI","CI","1,135","-","-","--","--","1,060","1,025","1,135","1,060","+75","+7.08%","1,003","--","05/06","7,520,000,000","46,740,000,000","1,718","-","-","-0.27","-","-","","","","","","Neutral","Strong Buy","Strong Sell","7.08%","3.18%","13.50%","6.57%","13.50%","-49.33%"
"Uniwax SA","UNXC.CI","CI","555","-","-","--","--","525","415","555","525","+30","+5.71%","704","--","05/06","11,520,000,000","22,240,000,000","5,825","-","-","0.14","-","-","","","","","","Strong Buy","Strong Buy","Neutral","5.71%","7.77%","-9.76%","35.37%","38.75%","-60.22%"
"Nestle Cote d’Ivoire SA","NTLC.CI","CI","10,745","-","-","--","--","10,750","9,800","10,750","10,745","-5","-0.05%","81","--","05/06","11,860,000,000","224,940,000,000","4,345","16,447.64","0.64","0.75","675","6.28%","","","","","","Strong Buy","Strong Buy","Strong Buy","-0.05%","0.99%","8.54%","34.99%","43.36%","53.61%"
"Total Senegal SA","TTLS.CI","CI","2,785","-","-","--","--","2,595","2,350","2,785","2,595","+190","+7.32%","1,260","--","05/06","90,730,000,000","426,140,000,000","2,695","219.17","11.02","0.14","222.4","7.99%","","","","","","Strong Buy","Strong Buy","Strong Buy","7.32%","7.32%","13.67%","21.09%","21.09%","7.53%"
"Nei-Ceda Ci","NEIC.CI","CI","555","-","-","--","--","545","715","555","545","+10","+1.83%","2,523","--","05/06","7,090,000,000","6,740,000,000","2,383","-","-","0.56","81.78","14.74%","","","","","","Strong Sell","Strong Sell","Strong Sell","1.83%","2.78%","2.78%","-26.00%","-33.53%","-13.95%"
"Societe Ivoirienne des Tabacs SA","STBC.CI","CI","18,000","-","-","--","--","17,700","9,600","18,000","17,700","+300","+1.69%","196","--","05/06","323,190,000,000","216,330,000,000","2,688","-","-","0.05","675","3.75%","","","","","","Strong Buy","Strong Buy","Strong Buy","1.69%","5.23%","63.93%","146.58%","146.58%","210.08%"
"La Compagnie Ivoirienne d’Electricite SA","CIEC.CI","CI","2,405","-","-","--","--","2,390","2,590","2,405","2,390","+15","+0.63%","705","Sep 03, 2025","05/06","134,680,000,000","264,470,000,000","3,510","187.96","12","0.24","180","7.48%","","","","","","Strong Buy","Strong Buy","Strong Buy","0.63%","-1.43%","6.65%","9.57%","26.58%","2.34%"
"Societe de Distribution d’Eau de la Cote D’Ivoire SA","SDCC.CI","CI","6,350","-","-","--","--","6,345","6,500","6,350","6,345","+5","+0.08%","141","--","05/06","57,150,000,000","172,240,000,000","1,305","-","8.82","-0.1","481.5","7.58%","","","","","","Strong Buy","Strong Buy","Strong Buy","0.08%","0.00%","4.27%","11.70%","22.12%","22.12%"
"Societe des Caoutchoucs de Grand Bereby SA","SOGC.CI","CI","7,200","-","-","--","--","7,200","5,280","7,200","7,200","0","0.00%","3,693","--","05/06","155,530,000,000","93,920,000,000","5,882","606.93","11.37","-0.3","528","7.33%","","","","","","Strong Buy","Strong Buy","Strong Buy","0.00%","0.00%","12.50%","56.18%","100.84%","10.77%"
"Unilever Cote d’Ivoire SA","UNLC.CI","CI","11,600","-","-","--","--","11,265","7,000","11,600","11,265","+335","+2.97%","9","--","05/06","106,530,000,000","38,210,000,000","10","-","-","0.11","-","-","","","","","","Strong Buy","Strong Buy","Buy","2.97%","2.97%","14.00%","79.15%","78.32%","139.18%"
"Onatel-SA","ONTBF.CI","CI","2,565","-","-","--","--","2,580","2,670","2,580","2,565","-15","-0.58%","1,061","Sep 03, 2025","05/06","174,420,000,000","143,950,000,000","5,946","-","-","-0.24","216.61","8.44%","","","","","","Strong Buy","Neutral","Neutral","-0.58%","0.20%","6.43%","11.76%","-8.39%","-42.87%"
"Total Cote d’Ivoire SA","TTLC.CI","CI","2,900","-","-","--","--","2,885","3,600","2,900","2,885","+15","+0.52%","4,189","Sep 03, 2025","05/06","182,590,000,000","630,950,000,000","10,142","-","-","-0.04","199.54","6.88%","","","","","","Strong Buy","Neutral","Strong Buy","0.52%","4.69%","21.34%","16.00%","39.09%","30.93%"
"Societe Generale de Banques en Cote d’Ivoire SA","SGBC.CI","CI","22,500","-","-","--","--","22,100","21,890","22,500","22,100","+400","+1.81%","210","--","05/06","700,000,000,000","320,670,000,000","2,555","3,235.02","6.77","-0.08","1,553.85","6.91%","","","","","","Strong Buy","Strong Buy","Strong Buy","1.81%","2.27%","4.17%","7.14%","9.76%","56.25%"
"Palmci SA","PALC.CI","CI","6,550","-","-","--","--","6,740","6,100","6,740","6,550","-190","-2.82%","3,463","--","05/06","101,260,000,000","188,140,000,000","7,240","-","-","-0.07","563.31","8.6%","","","","","","Neutral","Strong Buy","Strong Buy","-2.82%","-3.68%","0.77%","31.00%","11.30%","-48.38%"
"NSIA Banque Cote d'Ivoire SC","NSBC.CI","CI","8,985","-","-","--","--","9,000","9,000","9,000","8,985","-15","-0.17%","492","--","05/06","222,240,000,000","102,940,000,000","2,366","1,540.84","5.83","-","505","5.62%","","","","","","Strong Buy","Strong Buy","Strong Buy","-0.17%","-0.17%","3.81%","26.73%","42.62%","72.13%"
"Oragroup SA","ORGT.CI","CI","1,650.00","-","-","--","--","1,680.00","1,600.00","1,680.00","1,650.00","-30.00","-1.79%","331","--","05/06","124,600,000,000","226,600,000,000","3,097","-545","-3.08","-0.1","-","-","","","","","","Sell","Neutral","Strong Sell","-1.79%","0.00%","1.85%","-14.06%","-3.51%","-56.98%"
"Ecobank Cote d'Ivoire SA","ECOC.CI","CI","10,200","-","-","--","--","10,175","9,890","10,200","10,175","+25","+0.25%","1,555","--","05/06","561,520,000,000","","985","-","-","-0.1","804","7.88%","","","","","","Strong Sell","Strong Buy","Strong Buy","0.25%","0.15%","3.03%","15.97%","42.06%","129.21%"
"Societe d’Etudes et de Travaux pour l’Afrique de l’Ouest SETAO SA","STAC.CI","CI","510","-","-","--","--","545","665","545","510","-35","-6.42%","438","--","05/06","6,850,000,000","1,790,000,000","1,264","-","-","0.13","-","-","","","","","","Strong Sell","Strong Sell","Strong Sell","-6.42%","-5.56%","-2.86%","13.33%","-33.77%","-64.83%"
"Bank of Africa Benin SA","BOAB.CI","CI","4,480","-","-","--","--","4,495","4,650","4,495","4,480","-15","-0.33%","792","--","05/06","181,710,000,000","53,500,000,000","7,995","-","-","0.17","468","10.45%","","","","","","Strong Sell","Sell","Strong Sell","-0.33%","4.19%","-5.68%","21.57%","-33.53%","-25.33%"
"Coris Bank International SA","CBIBF.CI","CI","10,000.00","-","-","--","--","10,445.00","11,480.00","10,445.00","10,000.00","-445.00","-4.26%","213","--","05/06","327,680,000,000","106,380,000,000","1,322","-","-","0.02","634.29","6.34%","","","","","","Strong Sell","Strong Sell","Buy","-4.26%","-4.72%","2.04%","1.16%","-5.48%","5.88%"
